Kanji,Hiragana,English,Origin,Difficulty,Category
誰,だれ,Who,Genki 1.2,1,Noun - People
魚,さかな,Fish,Genki 1.2,1,Noun - Food
肉,にく,Meat,Genki 1.2,2,Noun - Food
野菜,やさい,Vegetable,Genki 1.2,1,Noun - Food
本,ほん,"Book, counter for long objects",Genki 1.2,1,"Noun, Counter"
お願い,おねがい,Please ,Genki 1.3,1,Phrase
映画,えいが,Movie,Genki 1.3,1,Noun - Object
音楽,おんがく,Music,Genki 1.3,1,Noun - Object
雑誌,ざっし,Magazine,Genki 1.3,2,Noun - Object
酒,さけ,Alcohol,Genki 1.3,1,Noun - Food
茶,ちゃ,Tea,Genki 1.3,2,Noun - Food
水,みず,Water,Genki 1.3,1,Noun - Food
朝ご飯,あさごはん,Breakfast,Genki 1.3,1,Noun - Food
昼ご飯,ひるごはん,Lunch,Genki 1.3,1,Noun - Food
晩ご飯,ばんごはん,Dinner,Genki 1.3,1,Noun - Food
家,いえ,House,Genki 1.3,1,Noun - Place
今日,きょう,Today,Genki 1.3,1,Noun - Date
朝,あさ,Morning,Genki 1.3,1,Noun - Concept
今晩,こんばん,Tonight,Genki 1.3,1,Noun - Concept
毎日,まいにち,Everyday,Genki 1.3,1,Frequency
毎朝,まいあさ,Every morning,Genki 1.3,1,Frequency
毎晩,まいばん,Every night,Genki 1.3,1,Frequency
週末,しゅうまつ,Weekend,Genki 1.3,1,Noun - Date
土曜日,どようび,Saturday,Genki 1.3,1,Noun - Date
日曜日,にちようび,Sunday,Genki 1.3,1,Noun - Date
行く,いく,To go,Genki 1.3,1,Verb - Godan
帰る,かえる,To return home,Genki 1.3,2,Verb - Godan
聞く,きく,"To listen, to ask",Genki 1.3,1,Verb - Godan
読む,よむ,To read,Genki 1.3,1,Verb - Godan
飲む,のむ,To drink,Genki 1.3,1,Verb - Godan
話す,はなす,To speak,Genki 1.3,1,Verb - Godan
勉強する,べんきょうする,To study,Genki 1.3,1,Verb - suru
起きる,おきる,To get up,Genki 1.3,2,Verb - Ichidan
食べる,たべる,To eat,Genki 1.3,1,Verb - Ichidan
寝る,ねる,To go to bed,Genki 1.3,1,Verb - Ichidan
見る,みる,To see,Genki 1.3,1,Verb - Ichidan
来る,くる,To come,Genki 1.3,1,Verb - Irregular
早い,はやい,Early,Genki 1.3,2,Adjective - い
全然,ぜんぜん,"Not at all, never",Genki 1.3,1,Adverb
時々,ときどき,Sometimes,Genki 1.3,1,Adverb
買い物,かいもの,Shopping,Genki 1.4,1,Noun - Concept
犬,いぬ,Dog,Genki 1.4,1,Noun - Living
猫,ねこ,Cat,Genki 1.4,2,Noun - Living
人,ひと,Person,Genki 1.4,1,Noun - Living
子供,こども,Child,Genki 1.4,1,Noun - Living
